,Phrase,Count
0,ukraine russia,21296
1,russia ukraine,13350
2,war ukraine,5702
3,ukraine ukrainerussiawar,5410
4,russia putin,5150
5,invasion ukraine,4977
6,ukraine ukraineunderattack,4735
7,russian state,4539
8,state channels,4214
9,russian military,4183
10,russian government,4111
11,ukrainerussiawar ukraine,4095
12,vladimir putin,4057
13,support ukraine,3982
14,channels hacked,3979
15,ukraine ukrainerussia,3874
16,russian people,3856
17,ukraine ukrainewar,3853
18,der ukraine,3849
19,whole world,3808
